,ID,drugName,condition,patientreview,rating,reviewdate,Useful,Manual_Sentiment,review_cleaned,reviewchars,reviewchars_clean,reviewwords,reviewwords_clean,reviewsentence,reviewsentence_clean,emotions,NRCsent
26,206180,Eflornithine,Hirsutism,"""I&#039;m writing a second review on Vaniqa.  I started using this in February this year. Twice a day although some days/times I do forget. I just want to say how delighted I am to have found this. It has totally and completely changed my life! I had terrible male pattern hair growth all over my cheeks, chin, upper and lower lip and starting to grow down my neck. I used to pluck for up to 2 hrs a time every 3rd day but was never hair free. I wouldn&#039;t kiss anyone hello or goodbye as even plucked the stubble could be felt under my skin. 3 months on im not scared of being caught in bright sunlight I pluck around once a fortnight and it takes around 10 mins. The hairs that are coming through are soft and downy. My life is transformed.""",10.0,2014-05-11,99,1.0,m write second review vaniqa start february year twice day daystime forget want delighted find totally completely change life terrible male pattern hair growth cheek chin upper low lip start grow neck pluck hrs time rd day hair free not kiss hello goodbye pluck stubble feel skin month m scared catch bright sunlight pluck fortnight take min hair come soft downy life transform,746,377,168,63,11,1,"{'fear': 0.07692307692307693, 'anger': 0.038461538461538464, 'anticip': 0.0, 'trust': 0.038461538461538464, 'surprise': 0.11538461538461539, 'positive': 0.23076923076923078, 'negative': 0.07692307692307693, 'sadness': 0.038461538461538464, 'disgust': 0.038461538461538464, 'joy': 0.11538461538461539, 'anticipation': 0.23076923076923078}",positive
73,172031,Amitiza,"Constipation, Drug Induced","""I had a tummy tuck on Dec 18. The surgery was painful but the constipation from opioids from the surgery was just as bad. My plastic surgeon wasn&#039;t familiar with treating OIC so I called my primary care physician. She gave me Amitiza 24mcg. It took almost two days but it was amazing and I was so thankful. I had to remain on opioids for three weeks and the Amitiza worked so well I haven&#039;t had any issues!! Thank you Amitiza!!!""",10.0,2016-01-12,35,1.0,tummy tuck dec surgery painful constipation opioid surgery bad plastic surgeon not familiar treat oic call primary care physician give amitiza mcg take day amazing thankful remain opioid week amitiza work not issue thank amitiza,440,228,103,35,7,1,"{'fear': 0.15151515151515152, 'anger': 0.09090909090909091, 'anticip': 0.0, 'trust': 0.09090909090909091, 'surprise': 0.030303030303030304, 'positive': 0.15151515151515152, 'negative': 0.12121212121212122, 'sadness': 0.15151515151515152, 'disgust': 0.12121212121212122, 'joy': 0.06060606060606061, 'anticipation': 0.030303030303030304}",fear
132,133833,Restasis,Keratoconjunctivitis Sicca,"""I was prescribed Restasis by my ophthalmologist due to severe dry eye caused by Accutune. I was given a card that gave me a discount since I did not have private health insurance and used each vile over 2-3 days so that it became effectively very cheap for me to use. I had side effects at first, burning eyes and blurred vision. I was told it takes a minimum of 3 months to see any benefits so I kept using it. It worked almost too well, as my eyes started producing tears so much that my eyes would water all the time. I stopped using the product after 1 year, and my eyes have improved so much I no longer need to use it, although I still use regular over the counter eye drops (Systane Balance) once or twice a day as needed""",9.0,2016-10-05,40,1.0,prescribe restasis ophthalmologist severe dry eye cause accutune give card give discount private health insurance vile day effectively cheap use effect burn eye blur vision tell take minimum month benefit keep work eye start produce tear eye water time stop product year eye improve long need use use regular counter eye drop systane balance twice day need,730,356,156,57,6,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.07142857142857142, 'surprise': 0.0, 'positive': 0.2857142857142857, 'negative': 0.21428571428571427, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.07142857142857142, 'anticipation': 0.35714285714285715}",anticipation
149,91973,Lyrica,Neuropathic Pain,"""I was diagnosed with adult onset Diabetes last Dec. I started on
Metformin 750 and almost immediately my fasting glucose dropped
to 94. That is what it has been since but I have been bothered with
neuropathy for  months. I tried Lyrica for 3 months and it did
absolutely nothing for the pain. I am presently taking gabapentin
300 mg at bedtime and it helps slightly. The cost for the Lyrica
was money out the window.""",1.0,2015-07-18,13,-1.0,diagnose adult onset diabete dec start metformin immediately fast glucose drop bother neuropathy month try lyrica month absolutely pain presently take gabapentin mg bedtime help slightly cost lyrica money window,430,211,84,30,6,1,"{'fear': 0.06666666666666667, 'anger': 0.06666666666666667, 'anticip': 0.0, 'trust': 0.06666666666666667, 'surprise': 0.06666666666666667, 'positive': 0.13333333333333333, 'negative': 0.2, 'sadness': 0.06666666666666667, 'disgust': 0.0, 'joy': 0.06666666666666667, 'anticipation': 0.26666666666666666}",anticipation
166,202726,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,"""My rheumatologist put me on Plaquenil for UCTD.  Two days later I started having migraines, fits of crying, anxiety attacks, irritable, very depressed, and feeling almost convulsive.  When the doctor took me off the medicines, I slept for 15 hours, just getting up to have dinner and going back to bed.  This medicine is NOT for me.""",1.0,2011-05-12,57,-1.0,rheumatologist plaquenil uctd day later start have migraine fit cry anxiety attack irritable depressed feel convulsive doctor take medicine sleep hour get dinner go bed medicine,334,177,70,26,4,1,"{'fear': 0.15, 'anger': 0.2, 'anticip': 0.0, 'trust': 0.05, 'surprise': 0.0, 'positive': 0.1, 'negative': 0.25, 'sadness': 0.15, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.1}",negative
192,54286,Naloxegol,"Constipation, Drug Induced","""I am on opoids for chronic back pain. Used Miralax and Metamucil but was bowel movements irregular and felt like I was emptying out was backing up. Tried 25mg on empty stomach at 3pm yesterday for first time. Started having cramps. Called my doc and added a suppository. Twenty minutes later had massive BM over 30 minutes. None after that. This morning, woke up in withdrawal, cold, nausea, abdominal cramps, horrible pain and feeling lousy. Odd as my last pain med dose was six hours before, and I do not get withdrawals that quickly. My morning pain meds fixed withdrawals but was still in significant pain until 1pm after second pain med dose at 12. Seems to decrease pain reducing effects of opiods.""",3.0,2015-09-24,44,-1.0,opoid chronic pain miralax metamucil bowel movement irregular feel like empty back try mg stomach pm yesterday time start have cramp call doc add suppository minute later massive bm minute morning wake withdrawal cold nausea abdominal cramp horrible pain feel lousy odd pain med dose hour withdrawal quickly morning pain med fix withdrawal significant pain pm second pain med dose decrease pain reduce effect opiod,706,414,142,65,11,1,"{'fear': 0.20512820512820512, 'anger': 0.02564102564102564, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.38461538461538464, 'sadness': 0.20512820512820512, 'disgust': 0.07692307692307693, 'joy': 0.0, 'anticipation': 0.10256410256410256}",negative
195,40776,Leuprolide,Uterine Fibroids,"""Received 3-month shot two weeks ago to stop heavy menstrual bleeding in preparation for a hysterectomy next month. My period started and the bleeding is just as extreme as usual. No relief in blood or pain with this drug. Have experience hot flashes (minor), headaches (minor), night sweats, nausea (moderate), and have pain in upper right back area. Will be seeing doctor later this week to get checked on. I know it&#039;s early in the process, but I&#039;m disappointed. I took it knowing about the side effects, but was willing to go along with them to get my bleeding under control and to build up my iron stores.""",1.0,2016-05-04,16,-1.0,receive month shoot week ago stop heavy menstrual bleeding preparation hysterectomy month period start bleeding extreme usual relief blood pain drug experience hot flash minor headache minor night sweat nausea moderate pain upper right area see doctor later week check know early process m disappointed take know effect willing bleeding control build iron store,620,361,139,54,7,1,"{'fear': 0.16279069767441862, 'anger': 0.06976744186046512, 'anticip': 0.0, 'trust': 0.06976744186046512, 'surprise': 0.0, 'positive': 0.16279069767441862, 'negative': 0.20930232558139536, 'sadness': 0.13953488372093023, 'disgust': 0.11627906976744186, 'joy': 0.0, 'anticipation': 0.06976744186046512}",negative
335,205137,Acetaminophen / aspirin / caffeine,Pain/Feve,"""I don&#039;t get headaches very often, but when I do they are bad. I take Excedrin, and it is gone in 20 minutes. """,10.0,2012-10-22,9,1.0,not headache bad excedrin go minute,116,35,33,6,2,1,"{'fear': 0.16666666666666666, 'anger': 0.16666666666666666, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.16666666666666666, 'disgust': 0.16666666666666666, 'joy': 0.0}",negative
338,209669,Lupron Depot,Uterine Fibroids,"""Had a large pedunctulated fibroid tumor on my uterus- shot was administered , they found my fibroid got larger after 3 months. Had to have a partial hysterectomy to have it removed so I could sit, drive and have sex without being uncomfortable or bleeding.  I had every side effect which was miserable. I had extreme hair loss (thinning) and I&#039;m still trying to grow it back... this drug did not work for me. It has been over a year.""",1.0,2017-04-20,12,-1.0,large pedunctulate fibroid tumor uterus shot administer find fibroid get large month partial hysterectomy remove sit drive sex uncomfortable bleed effect miserable extreme hair loss thinning m try grow drug work year,440,216,96,32,5,1,"{'fear': 0.14285714285714285, 'anger': 0.14285714285714285, 'anticip': 0.0, 'trust': 0.07142857142857142, 'surprise': 0.03571428571428571, 'positive': 0.07142857142857142, 'negative': 0.21428571428571427, 'sadness': 0.14285714285714285, 'disgust': 0.03571428571428571, 'joy': 0.07142857142857142, 'anticipation': 0.07142857142857142}",negative
412,127009,Metoclopramide,Gastroparesis,"""I started this medication for Gastroparesis after 11 months of not being able to keep anything down. I noticed it helping after first two doses. I was so excited until the awful side effects started. Drowsiness to the point I couldn&#039;t function, severe stomach and back pain and bowel issues. I had to stop after 5 days in order to be able to take care of my family. So disappointed.""",1.0,2016-01-03,15,-1.0,start medication gastroparesis month able notice help dose excited awful effect start drowsiness point not function severe stomach pain bowel issue stop day order able care family disappoint,389,190,84,28,6,1,"{'fear': 0.09523809523809523, 'anger': 0.09523809523809523, 'anticip': 0.0, 'trust': 0.047619047619047616, 'surprise': 0.047619047619047616, 'positive': 0.047619047619047616, 'negative': 0.19047619047619047, 'sadness': 0.14285714285714285, 'disgust': 0.14285714285714285, 'joy': 0.047619047619047616, 'anticipation': 0.14285714285714285}",negative
